economy,year,iso3,gpi,region,income_group,pop_millions
"Micronesia, Fed. Sts.",1982,FSM,0.870689988136292,East Asia & Pacific,Lower middle income,0.11
Moldova,2024,MDA,1.24207166489251,Europe & Central Asia,Upper middle income,2.40
Monaco,2024,MCO,1.43008005619049,Europe & Central Asia,High income,0.04
Mongolia,2024,MNG,1.41294002532959,East Asia & Pacific,Upper middle income,3.52
Montenegro,2023,MNE,1.33894002437592,Europe & Central Asia,Upper middle income,0.62
Morocco,2024,MAR,1.19354887598895,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,38.08
Mozambique,2018,MOZ,0.809812633689832,Sub-Saharan Africa ,Low income,34.63
Myanmar,2018,MMR,1.32123005390167,East Asia & Pacific,Lower middle income,54.50
Namibia,2022,NAM,1.42173560144752,Sub-Saharan Africa ,Lower middle income,3.03
Nepal,2024,NPL,1.217880072339,South Asia,Lower middle income,29.65
Netherlands,2023,NLD,1.16398000717163,Europe & Central Asia,High income,17.99
New Zealand,2023,NZL,1.39020001888275,East Asia & Pacific,High income,5.29
Nicaragua,2023,NIC,1.29298996925354,Latin America & Caribbean ,Lower middle income,6.92
Niger,2019,NER,0.636423890318528,Sub-Saharan Africa ,Low income,27.03
Nigeria,2011,NGA,0.694068569044995,Sub-Saharan Africa ,Lower middle income,232.68
North Macedonia,2023,MKD,1.2994099855423,Europe & Central Asia,Upper middle income,1.82
Norway,2023,NOR,1.33175003528595,Europe & Central Asia,High income,5.57
Oman,2021,OMN,1.32167443788984,"Middle East, North Africa, Afghanistan & Pakistan",High income,5.28
Pakistan,2024,PAK,1.0274911023878,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,251.27
Palau,2023,PLW,1.3317685798522,East Asia & Pacific,High income,0.02
Panama,2023,PAN,1.37330869515654,Latin America & Caribbean ,High income,4.52
Papua New Guinea,1999,PNG,0.572489976882935,East Asia & Pacific,Lower middle income,10.58
Paraguay,2010,PRY,1.29491082477434,Latin America & Caribbean ,Upper middle income,6.93
Peru,2017,PER,1.07524001598358,Latin America & Caribbean ,Upper middle income,34.22
Philippines,2024,PHL,1.2191020570979,East Asia & Pacific,Lower middle income,115.84
Poland,2023,POL,1.34798002243042,Europe & Central Asia,High income,36.56
Portugal,2023,PRT,1.17716002464294,Europe & Central Asia,High income,10.69
Puerto Rico (US),2023,PRI,1.36807082789315,Latin America & Caribbean ,High income,3.20
Qatar,2022,QAT,1.78702959696754,"Middle East, North Africa, Afghanistan & Pakistan",High income,2.86
Romania,2023,ROU,1.2403199672699,Europe & Central Asia,High income,19.05
Russian Federation,2024,RUS,1.07059742149174,Europe & Central Asia,High income,143.53
Rwanda,2024,RWA,0.804312463105011,Sub-Saharan Africa ,Low income,14.26
Samoa,2023,WSM,1.63438544823559,East Asia & Pacific,Upper middle income,0.22
San Marino,2024,SMR,1.00604868283675,Europe & Central Asia,High income,0.03
Sao Tome and Principe,2015,STP,1.02792000770569,Sub-Saharan Africa ,Lower middle income,0.24
Saudi Arabia,2024,SAU,1.00602527047339,"Middle East, North Africa, Afghanistan & Pakistan",High income,35.30
Senegal,2024,SEN,1.10802892238528,Sub-Saharan Africa ,Lower middle income,18.50
Serbia,2023,SRB,1.32416999340057,Europe & Central Asia,Upper middle income,6.59
Seychelles,2024,SYC,1.51059997081757,Sub-Saharan Africa ,High income,0.12
Sierra Leone,2002,SLE,0.402359992265701,Sub-Saharan Africa ,Low income,8.64
Singapore,2023,SGP,1.09136863649498,East Asia & Pacific,High income,6.04
Sint Maarten (Dutch part),2023,SXM,1.77647120492032,Latin America & Caribbean ,High income,0.04
Slovak Republic,2023,SVK,1.30017995834351,Europe & Central Asia,High income,5.42
Slovenia,2023,SVN,1.34330999851227,Europe & Central Asia,High income,2.13
"Somalia, Fed. Rep.",1987,SOM,0.249249994754791,Sub-Saharan Africa ,Low income,19.01
South Africa,2023,ZAF,1.4204035511889,Sub-Saharan Africa ,Upper middle income,64.01
Spain,2023,ESP,1.23416996002197,Europe & Central Asia,High income,48.85
Sri Lanka,2023,LKA,1.4022925125158,South Asia,Lower middle income,21.92
St. Kitts and Nevis,2015,KNA,1.47872996330261,Latin America & Caribbean ,High income,0.05
St. Lucia,2023,LCA,1.52731001377106,Latin America & Caribbean ,Upper middle income,0.18
St. Vincent and the Grenadines,2015,VCT,1.43529999256134,Latin America & Caribbean ,Upper middle income,0.10
Sudan,2015,SDN,1.00426995754242,Sub-Saharan Africa ,Low income,50.45
Suriname,2023,SUR,1.36817690730929,Latin America & Caribbean ,Upper middle income,0.63
Sweden,2023,SWE,1.41434001922607,Europe & Central Asia,High income,10.57
Switzerland,2023,CHE,1.11629998683929,Europe & Central Asia,High income,9.01
Syrian Arab Republic,2016,SYR,1.14654004573822,"Middle East, North Africa, Afghanistan & Pakistan",Low income,24.67
Tajikistan,2024,TJK,0.94528216638878,Europe & Central Asia,Lower middle income,10.59
Tanzania,2024,TZA,0.822539985179901,Sub-Saharan Africa ,Lower middle income,68.56
Thailand,2025,THA,1.25606592688301,East Asia & Pacific,Upper middle income,71.67
Timor-Leste,2023,TLS,1.03700809920258,East Asia & Pacific,Lower middle income,1.40
Togo,2020,TGO,0.569815150227066,Sub-Saharan Africa ,Low income,9.52
Tonga,2023,TON,1.50837525990964,East Asia & Pacific,Upper middle income,0.10
Trinidad and Tobago,2004,TTO,1.21800005435944,Latin America & Caribbean ,High income,1.37
Tunisia,2023,TUN,1.44567000865936,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,12.28
Turkiye,2022,TUR,1.03682005405426,Europe & Central Asia,Upper middle income,85.52
Turkmenistan,2024,TKM,1.07169657973093,Europe & Central Asia,Upper middle income,7.49
Turks and Caicos Islands,2023,TCA,1.51727505387931,Latin America & Caribbean ,High income,0.05
Tuvalu,2023,TUV,1.59516390377664,East Asia & Pacific,Upper middle income,0.01
Uganda,2014,UGA,0.767109990119934,Sub-Saharan Africa ,Low income,50.02
Ukraine,2021,UKR,1.11470994975223,Europe & Central Asia,Upper middle income,37.86
United Arab Emirates,2024,ARE,1.21852745085735,"Middle East, North Africa, Afghanistan & Pakistan",High income,10.99
United Kingdom,2023,GBR,1.27526998519898,Europe & Central Asia,High income,69.23
United States,2022,USA,1.31957995891571,North America,High income,340.11
Uruguay,2023,URY,1.41700653861736,Latin America & Caribbean ,High income,3.39
Uzbekistan,2025,UZB,1.14318746471446,Europe & Central Asia,Lower middle income,36.36
Vanuatu,2004,VUT,0.55401998758316,East Asia & Pacific,Lower middle income,0.33
"Venezuela, RB",2008,VEN,1.40991997718811,Latin America & Caribbean ,Not classified,28.41
Viet Nam,2024,VNM,1.15940859495302,East Asia & Pacific,Lower middle income,100.99
Virgin Islands (U.S.),1993,VIR,1.63469994068146,Latin America & Caribbean ,High income,0.10
West Bank and Gaza,2023,PSE,1.37992379012121,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,5.29
"Yemen, Rep.",2011,YEM,0.445129990577698,"Middle East, North Africa, Afghanistan & Pakistan",Low income,40.58
Zambia,2012,ZMB,0.753353021103103,Sub-Saharan Africa ,Lower middle income,21.31
Zimbabwe,2024,ZWE,1.21357710980386,Sub-Saharan Africa ,Lower middle income,16.63
